"","lon","lat"
"622",10.5267696,52.2688736
"623",-95.6937856,29.9716905
"625",-66.6140616,18.0110768
"626",-71.8227528,-36.1406484
"627",6.1431577,46.2043907
"628",-74.0059728,40.7127753
"629",-81.3792365,28.5383355
"630",-84.6330115,40.1028264
"631",-71.5500276,-33.0153481
"635",-78.866111,43.077222
"636",103.846656,46.862496
"642",6.9446887,51.529086
"645",14.2541872,41.0820867
"647",-84.323258,33.9392682
"648",8.54094,45.8830554
"650",6.1431577,46.2043907
"651",-66.1057355,18.4655394
"653",-68.9293819,-22.4543923
"654",-72.1023351,-36.6062618
"657",-37.0730823,-10.9472468
"658",-85.6811017,42.9851272
"660",-80.782127,8.537981
"663",14.0153557,37.5999938
"665",-82.0131924,39.9403453
"669",-71.5723953,-35.5163603
"670",-71.6484804,-35.4232444
"673",-70.8119953,-30.540181
"675",-69.1328491,-23.8634189
"676",-2.0782533,51.8993855
"677",9.1829321,48.7758459
"678",-71.5996137,-35.846407
"679",-87.0867789,20.6302024
"680",4.3517211,50.8503463
"681",-74.0059728,40.7127753
"682",-73.7624137,-42.4801402
"683",-81.2452768,42.9849233
"684",11.5819805,48.1351253
"685",-84.5120196,39.1031182
"688",10.89779,48.3705449
"689",10.663771,54.321371
"694",4.2875198,52.0996741
"696",13.7289167,42.1920119
"697",-72.6864154,-45.4035437
"698",-62.2158805,-3.4653053
"700",-95.8539654,36.1193454
"701",-70.1356692,-20.2307033
"705",7.6615938,51.4332367
"706",10.845346,51.0109892
"707",-70.6765026,-33.4940901
"710",-78.9503525,-4.0655892
"711",5.1214201,52.0907374
"715",-95.624767,33.6018323
"718",12.3908279,43.1107168
"722",-0.39032,51.656489
"723",-76.9930319,39.0398315
"725",-118.2436849,34.0522342
"726",-57.5561071,-25.298374
"728",-99.133208,19.4326077
"730",-88.296146,18.5001889
"735",-1.2577263,51.7520209
"736",9.8450766,52.6367036
"738",10.451526,51.165691
"739",-111.8991668,50.5659752
"740",17.2225389,40.9948996
"742",25.7481511,61.92411
"744",-118.2757248,33.790115
"745",6.083468,50.77456
"746",30.802498,26.820553
"748",12.2463181,45.4934881
"750",115.8494893,-8.7218929
"751",29.7773461,-19.0139329
"752",11.759207,55.224613
"753",-73.4766754,45.4687797
"754",78.486671,17.385044
"755",7.4632841,51.3670777
"756",-99.2215659,18.9242095
"759",-95.971261,36.153315
"760",-4.2026458,56.4906712
"762",125.455341,7.190708
"765",-98.4598177,47.1697143
"766",13.7768182,45.6495264
"768",16.3463791,39.3087714
"771",72.8776559,19.0759837
"775",-76.1476538,36.8954012
"776",27.8540323,-26.2485377
"777",-100.3161126,25.6866142
"779",-74.0059728,40.7127753
"781",8.4431621,47.0843237
"782",24.9383791,60.1698557
"783",123.4597711,41.7835809
"784",4.835659,45.764043
"786",9.3976704,45.8565698
"787",74.865453,31.646973
"788",-117.1610838,32.715738
"789",13.0208058,48.7896497
"792",3.3792057,6.5243793
"793",6.6958939,6.2059295
"794",-82.4403583,42.9526895
"796",28.0473051,-26.2041028
"797",22.00333,48.0394954
"804",-89.9518932,38.8063205
"805",106.8650395,-6.17511
"806",-0.1277583,51.5073509
"808",-79.9192702,22.4937204
"809",-102.552784,23.634501
"810",-119.4179324,36.778261
"811",-97.5164276,35.4675602
"812",0.290472,50.768035
"813",9.9975008,53.5706756
"819",-75.876472,38.7437759
"822",-109.940064,27.4934041
"824",-100.3898876,20.5888184
"825",-120.7401385,47.7510741
"827",-101.0020119,47.5514926
"829",107.6191228,-6.9174639
"831",-96.7265889,17.0731842
"833",-86.241905,15.199999
"837",10.4950609,43.8376211
"838",-121.4943996,38.5815719
"841",-45.2618568,-21.8657333
"842",11.791372,55.442952
"843",153.0251235,-27.4697707
"845",126.6884811,45.762775
"847",-70.6980245,-33.4082737
"848",-121.9780153,37.7799273
"850",-116.1133879,44.9112662
"851",-79.9958864,40.4406248
"852",-71.1097335,42.3736158
"854",31.2357116,30.0444196
"856",-58.3815591,-34.6036844
"858",-58.4487278,-34.5743883
"861",-43.1728965,-22.9068467
"864",-94.6707917,38.9822282
"866",-89.3985283,40.6331249
"867",-99.9018131,41.4925374
"868",139.3179362,35.5989918
"874",-83.9811014,34.1140497
"875",-97.7430608,30.267153
"877",-103.6238367,40.2588686
"878",-99.133208,19.4326077
"880",-103.7999509,40.2502582
"882",-122.2913078,37.8271784
"883",-71.2528803,-34.9779853
"885",-73.7751326,41.0748188
"886",-82.9000751,32.1656221
"891",-70.7631335,-33.5209155
"893",-99.1013498,18.6813049
"895",-70.1930064,-22.0857976
"899",7.4474468,46.9479739
"900",-73.9441579,40.6781784
"901",-99.133208,19.4326077
"904",139.6380256,35.4437078
"905",-76.6412712,39.0457549
"906",-99.1373136,19.4361609
"908",-72.073063,-45.5698334
"909",-65.4816759,18.1374242
"910",-103.3496092,20.6596988
"911",138.2271687,34.7413036
"914",-71.6055123,-33.5922807
"916",-99.1797737,18.6134935
"917",12.4963655,41.9027835
"919",-77.8600012,40.7933949
"922",-99.133208,19.4326077
"923",-76.6412712,39.0457549
"925",-74.924321,42.7006303
"926",-107.4795173,25.1721091
"927",-77.0368707,38.9071923
"928",-82.907123,40.4172871
"929",-86.902298,32.3182314
"930",121.0851097,14.5763768
"942",10.4950609,43.8376211
"944",15.0830304,37.5078772
"945",-97.735319,30.306814
"946",15.0830304,37.5078772
"948",-99.2215659,18.9242095
"950",-70.5831069,-33.6793441
"951",35.862285,33.854721
"952",-69.4454689,45.253783
"954",-81.0348144,34.0007104
"955",6.6371433,49.749992
"957",-110.1623171,38.995507
"958",-88.89653,13.794185
"960",12.56738,41.87194
"961",-98.9548261,18.8126047
"962",-83.6824384,42.0853204
"963",-3.188267,55.953252
"965",-117.1610966,32.7157305
"968",-70.1356692,-20.2307033
"970",-66.590149,18.220833
